prediction_id,route,stop_name,licence,predicted_eta_min,actual_eta_min,accuracy_min,accuracy_percentage,prediction_time,actual_arrival_time
1762502726_10-1212_Diamond_Cliff_Resort_&_Spa,Airport -> Rawai,Diamond Cliff Resort & Spa,10-1212,6,3.59,-2.41,59.75,2025-11-07T15:05:26.624282,2025-11-07T15:09:01.740915
1762501256_10-1196_Baan_Khian,Rawai -> Airport,Baan Khian,10-1196,13,29.11,16.11,-23.92,2025-11-07T14:40:56.398059,2025-11-07T15:10:03.005753
1762501439_10-1196_Baan_Khian,Rawai -> Airport,Baan Khian,10-1196,12,26.05,14.05,-17.09,2025-11-07T14:43:59.968901,2025-11-07T15:10:03.032708
1762501623_10-1196_Thalang_Public_Health_Office,Rawai -> Airport,Thalang Public Health Office,10-1196,15,31.16,16.16,-7.75,2025-11-07T14:47:03.427593,2025-11-07T15:18:13.149631
1762500521_10-1151_Patong_PEA,Airport -> Rawai,Patong PEA,10-1151,27,54.64,27.64,-2.36,2025-11-07T14:28:41.217775,2025-11-07T15:23:19.432638
1762500704_10-1151_Indigo_Patong,Airport -> Rawai,Indigo Patong,10-1151,22,51.58,29.58,-34.44,2025-11-07T14:31:44.831340,2025-11-07T15:23:19.448494
1762503094_10-1210_Baan_Khian,Airport -> Rawai,Baan Khian,10-1210,12,19.42,7.42,38.18,2025-11-07T15:11:34.469127,2025-11-07T15:30:59.583894
1762502910_10-1205_Patong_Bus_Stop,Rawai -> Airport,Patong Bus Stop,10-1205,19,24.53,5.53,70.89,2025-11-07T15:08:30.549092,2025-11-07T15:33:02.433217
1762499419_10-1151_Woraburi_Karon,Airport -> Rawai,Woraburi Karon,10-1151,53,85.78,32.78,38.16,2025-11-07T14:10:19.840852,2025-11-07T15:36:06.505793
1762503645_10-1210_Cherngtalay_School,Airport -> Rawai,Cherngtalay School,10-1210,11,19.43,8.43,23.38,2025-11-07T15:20:45.923497,2025-11-07T15:40:11.644578
