licence,route,start_index,stop_index,stop_no,stop_name_eng,stop_name_th,eta_0min,predicted_arrival_time_0min,actual_arrival_time,time_difference_min,eta_15min
10-1149,Rawai -> Airport,3877,4437,31,Kalim Bus Stop,หาดกะหลิม,6,2025-11-19 14:56:19.030623,2025-11-19 15:05:56.562872,9.625537483333334,1.0
10-1149,Rawai -> Airport,3877,5519,32,Big C Kamala,บิ๊กซี กมลา,17,2025-11-19 14:56:19.030623,,,9.0
10-1149,Rawai -> Airport,3877,5751,33,Phuket Fantasea,ภูเก็ต แฟนตาซี,19,2025-11-19 14:56:19.030623,,,11.0
10-1149,Rawai -> Airport,3877,5863,34,Kamala Muslim Cemetery,กุโบร์ กมลา,20,2025-11-19 14:56:19.030623,,,12.0
10-1149,Rawai -> Airport,3877,5945,35,Cafe De Mar,คาเฟ่ เดล มาร์,21,2025-11-19 14:56:19.030623,,,13.0
10-1149,Rawai -> Airport,3877,6442,36,Surin Beach,หาดสุรินทร์,25,2025-11-19 14:56:19.030623,,,17.0
10-1149,Rawai -> Airport,3877,7024,37,Lotus Cherngtalay,โลตัสเชิงทะเล,33,2025-11-19 14:56:19.030623,,,25.0
10-1149,Rawai -> Airport,3877,7313,38,Laguna,ลากูน่า,39,2025-11-19 14:56:19.030623,,,30.0
10-1149,Rawai -> Airport,3877,7346,39,Cherngtalay School,เชิงทะเลวิทยคม,39,2025-11-19 14:56:19.030623,,,31.0
10-1149,Rawai -> Airport,3877,8300,40,Baan Khian,บ้านเคียน,48,2025-11-19 14:56:19.030623,,,40.0
10-1149,Rawai -> Airport,3877,8532,41,Thalang Public Health Office,สำนักงานสาธารณสุข ถลาง,51,2025-11-19 14:56:19.030623,,,43.0
10-1150,Rawai -> Airport,10889,4,16,Rawai Beach,หาดราไวย์,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,642,17,Sai Yuan,ไสยวน,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,1565,18,Andaman Cannacia Resort,อันดามัน คาเนเซีย,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,1728,19,Beyond hotel Kata,บียอนด์ กะตะ,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,1780,20,Kata Palm,กะตะ ปาล์ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,1937,21,OZO Kata,โอโซ่ ภูเก็ต,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,1963,22,Peach Blossom,พีช บลอสซั่ม,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,2064,23,Karon Stadium,สนามกีฬากะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,2369,24,Woraburi Karon,วรบุรี ภูเก็ต รีสอร์ท,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,2454,25,Karon Circle,วงเวียนกะรน,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,2997,26,Secret cliff resort ,ซีเคร็ท คลิฟ,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,3674,27,Patong Bus Stop,จุดจอดรถป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,3858,28,Bangla Patong ,ป่าตอง บางลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,4204,29,Four Point Patong,โฟร์ พอยต์ ป่าตอง,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,4320,30,Kalim School,โรงเรียนกะหลิม,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,4437,31,Kalim Bus Stop,หาดกะหลิม,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,5519,32,Big C Kamala,บิ๊กซี กมลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,5751,33,Phuket Fantasea,ภูเก็ต แฟนตาซี,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,5863,34,Kamala Muslim Cemetery,กุโบร์ กมลา,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,5945,35,Cafe De Mar,คาเฟ่ เดล มาร์,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,6442,36,Surin Beach,หาดสุรินทร์,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,7024,37,Lotus Cherngtalay,โลตัสเชิงทะเล,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,7313,38,Laguna,ลากูน่า,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,7346,39,Cherngtalay School,เชิงทะเลวิทยคม,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,8300,40,Baan Khian,บ้านเคียน,0,2025-11-19 14:56:19.030623,,,0.0
10-1150,Rawai -> Airport,10889,8532,41,Thalang Public Health Office,สำนักงานสาธารณสุข ถลาง,0,2025-11-19 14:56:19.030623,,,0.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2,107,Phuket Bus Terminal 2,สถานีขนส่งภูเก็ต 2,0,2025-11-19 14:56:18.978132,,,0.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,205,108,Big C Market Thepkrasattri,บิ๊กซี มาร์เก็ต เทพกระษัตรี,0,2025-11-19 14:56:18.978132,,,1.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,427,109,Ban Kuku School,โรงเรียนบ้านกู้กู,2,2025-11-19 14:56:18.978132,,,5.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,522,110,Dcondo Campus Kuku,ดีคอนโด กู้กู,3,2025-11-19 14:56:18.978132,,,6.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,680,111,Soi Thachin,ป้ายซอยท่าจีน,5,2025-11-19 14:56:18.978132,,,7.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,789,112,Big C Mini Kingkaew,บิ๊กซีมินิ กิ่งแก้ว,6,2025-11-19 14:56:18.978132,,,8.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,939,113,Baan Natkamon,บ้านณัฐกมล,7,2025-11-19 14:56:18.978132,,,10.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,1116,114,Phuket Provincial Cooperative Office,สำนักงานสหกรณ์จังหวัด,9,2025-11-19 14:56:18.978132,,,11.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,1246,115,Sanamchai,สนามชัย,10,2025-11-19 14:56:18.978132,,,13.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,1587,68,Phuket Bus Terminal 1,สถานีขนส่งภูเก็ต 1,17,2025-11-19 14:56:18.978132,,,19.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,1886,69,Sanamchai,สนามชัย,25,2025-11-19 14:56:18.978132,,,27.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2019,70,Satree Phuket School,โรงเรียนสตรีภูเก็ต,27,2025-11-19 14:56:18.978132,,,29.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2111,71,Phuket Wittayalai School,โรงเรียนภูเก็ตวิทยาลัย,28,2025-11-19 14:56:18.978132,,,31.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2334,72,Vachira Phuket Hospital,โรงพยาบาลวชิระภูเก็ต,31,2025-11-19 14:56:18.978132,,,34.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2559,73,Bangkok Hospital Phuket,โรงพยาบาลกรุงเทพภูเก็ต,35,2025-11-19 14:56:18.978132,,,37.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2715,74,Chillva Market,ตลาดชิลวา,37,2025-11-19 14:56:18.978132,,,39.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2809,75,Lotus Samkong,โลตัส สามกอง,38,2025-11-19 14:56:18.978132,,,40.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,2935,76,Andamanda Phuket Waterpark,สวนน้ำอันดามันดา,39,2025-11-19 14:56:18.978132,,,42.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,3266,77,Kathu Fresh Market,ตลาดสดกะทู้,42,2025-11-19 14:56:18.978132,,,44.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,3459,78,PTT Station Kathu,ปตท. กะทู้,44,2025-11-19 14:56:18.978132,,,46.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,3649,79,Siko,สี่กอ,45,2025-11-19 14:56:18.978132,,,48.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,3736,80,Kathu Police Station,สถานีตำรวจภูธรกะทู้,46,2025-11-19 14:56:18.978132,,,49.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,4922,81,Coffee Mania,คอฟฟี่ มาเนีย,64,2025-11-19 14:56:18.978132,,,66.0
10-1264,Bus 2 -> Bus 1 -> Patong,244,5178,82,Malin Plaza,มาลินพลาซ่า,67,2025-11-19 14:56:18.978132,,,70.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,0,83,Patong,ป่าตอง,0,2025-11-19 14:56:19.050893,,,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,115,84,Malin Plaza,มาลินพลาซ่า,0,2025-11-19 14:56:19.050893,,,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,371,85,Makro Nanai,แม็คโคร นาใน,0,2025-11-19 14:56:19.050893,,,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,1550,86,Kathu Police Station,สถานีตำรวจภูธรกะทู้,0,2025-11-19 14:56:19.050893,2025-11-19 14:58:20.507870,2.02428295,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,1652,87,Siko,สี่กอ,1,2025-11-19 14:56:19.050893,2025-11-19 15:02:22.499801,6.057481800000001,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,1843,88,PTT Station Kathu,ปตท. กะทู้,2,2025-11-19 14:56:19.050893,2025-11-19 15:03:22.992972,7.065701316666666,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,2031,89,Kathu Fresh Market,ตลาดสดกะทู้,4,2025-11-19 14:56:19.050893,2025-11-19 15:05:24.099095,9.084136699999998,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,2377,90,Andamanda Phuket Waterpark,สวนน้ำอันดามันดา,7,2025-11-19 14:56:19.050893,2025-11-19 15:07:25.325117,11.1045704,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,2484,91,Lotus Samkong,โลตัส สามกอง,8,2025-11-19 14:56:19.050893,2025-11-19 15:08:25.927124,12.11460385,0.0
10-1223,Patong -> Bus 1 -> Bus 2,1514,2580,92,Chillva Market,ตลาดชิลวา,9,2025-11-19 14:56:19.050893,2025-11-19 15:08:56.194049,12.6190526,0.0
