licence,route,stop_id,stop_name,stop_index,registration_time,arrival_time,eta_min_T0,eta_ts_T0,error_T0,eta_min_T15,eta_ts_T15,error_T15,eta_min_T30,eta_ts_T30,error_T30,eta_min_T45,eta_ts_T45,error_T45,eta_min_T60,eta_ts_T60,error_T60,eta_min_T75,eta_ts_T75,error_T75,eta_min_T90,eta_ts_T90,error_T90,eta_min_T105,eta_ts_T105,error_T105,eta_min_T120,eta_ts_T120,error_T120
10-1207,Airport -> Rawai,58,Holiday Inn Resort Patong,7169,2025-12-02T11:33:13.411769,,18.0,2025-12-02T11:51:13.411769,,,,,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,59,Secret cliff resort ,7899,2025-12-02T11:33:13.411769,2025-12-02T12:02:19.797258,28.0,2025-12-02T12:01:13.411769,1.11,,,,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,60,Karon Circle,8431,2025-12-02T11:33:13.411769,2025-12-02T12:08:25.416283,33.0,2025-12-02T12:06:13.411769,2.2,,,,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,61,Woraburi Karon,8523,2025-12-02T11:33:13.411769,2025-12-02T12:09:26.300906,34.0,2025-12-02T12:07:13.411769,2.21,,,,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,62,Karon Stadium,8823,2025-12-02T11:33:13.411769,2025-12-02T12:12:29.091483,37.0,2025-12-02T12:10:13.411769,2.26,1.0,2025-12-02T12:10:56.861441,1.54,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,63,OZO Phuket,8979,2025-12-02T11:33:13.411769,2025-12-02T12:14:30.870599,40.0,2025-12-02T12:13:13.411769,1.29,3.0,2025-12-02T12:12:56.861441,1.57,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,64,Kata Palm,9111,2025-12-02T11:33:13.411769,2025-12-02T12:16:32.688794,41.0,2025-12-02T12:14:13.411769,2.32,5.0,2025-12-02T12:14:56.861441,1.6,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,65,Beyond hotel Kata,9157,2025-12-02T11:33:13.411769,2025-12-02T12:17:33.754629,42.0,2025-12-02T12:15:13.411769,2.34,6.0,2025-12-02T12:15:56.861441,1.61,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,66,Andaman Cannacia Resort,9327,2025-12-02T11:33:13.411769,2025-12-02T12:20:36.734927,44.0,2025-12-02T12:17:13.411769,3.39,8.0,2025-12-02T12:17:56.861441,2.66,,,,,,,,,,,,,,,,,,,,,
10-1207,Airport -> Rawai,67,Sai Yuan,10247,2025-12-02T11:33:13.411769,2025-12-02T12:27:21.013834,53.0,2025-12-02T12:26:13.411769,1.13,17.0,2025-12-02T12:26:56.861441,0.4,3.0,2025-12-02T12:27:49.593945,-0.48,,,,,,,,,,,,,,,,,,
10-1204,Rawai -> Airport,18,Andaman Cannacia Resort,1565,2025-12-02T11:33:13.411994,2025-12-02T11:39:19.516354,6.0,2025-12-02T11:39:13.411994,0.1,,,,,,,,,,,,,,,,,,,,,,,,
10-1204,Rawai -> Airport,19,Beyond hotel Kata,1728,2025-12-02T11:33:13.411994,2025-12-02T11:42:23.182586,8.0,2025-12-02T11:41:13.411994,1.16,,,,,,,,,,,,,,,,,,,,,,,,
10-1204,Rawai -> Airport,20,Kata Palm,1780,2025-12-02T11:33:13.411994,2025-12-02T11:43:24.610283,9.0,2025-12-02T11:42:13.411994,1.19,,,,,,,,,,,,,,,,,,,,,,,,
10-1204,Rawai -> Airport,21,OZO Kata,1937,2025-12-02T11:33:13.411994,2025-12-02T11:46:28.736421,11.0,2025-12-02T11:44:13.411994,2.26,,,,,,,,,,,,,,,,,,,,,,,,
