licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1223,Patong -> Bus 1 -> Bus 2,102,Big C Mini Kingkaew,4507,,2025-12-01T11:14:17.691468,,2025-12-01T11:13:36.222381,,2025-12-01T11:17:43.808348,,2025-12-01T11:19:22.035056,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,103,Soi Thachin,4616,,2025-12-01T11:15:17.691468,,2025-12-01T11:14:36.222381,,2025-12-01T11:18:43.808348,,2025-12-01T11:20:22.035056,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,104,Dcondo Campus Kuku,4776,,2025-12-01T11:16:17.691468,,2025-12-01T11:15:36.222381,,2025-12-01T11:19:43.808348,,2025-12-01T11:22:22.035056,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,105,Ban Kuku School,4859,,2025-12-01T11:17:17.691468,,2025-12-01T11:16:36.222381,,2025-12-01T11:20:43.808348,,2025-12-01T11:23:22.035056,,,,,,,,,,,
10-1223,Patong -> Bus 1 -> Bus 2,106,Big C Market Thepkrasattri,5122,,2025-12-01T11:19:17.691468,,2025-12-01T11:18:36.222381,,2025-12-01T11:22:43.808348,,2025-12-01T11:25:22.035056,,,,,,,,,,,
10-1151,Airport -> Rawai,43,Thalang Public Health Office,2368,2025-12-01T17:21:47.236376,2025-12-01T10:18:17.690868,423.49,2025-12-01T17:22:14.746209,-0.46,,,,,,,,,,,,,,
10-1151,Airport -> Rawai,44,Baan Khian,2586,2025-12-01T17:36:32.110040,2025-12-01T10:21:17.690868,435.24,2025-12-01T17:24:14.746209,12.29,2025-12-01T17:34:30.174267,2.03,,,,,,,,,,,,
10-1151,Airport -> Rawai,45,Cherngtalay School,3541,2025-12-01T17:51:56.746749,2025-12-01T10:30:17.690868,441.65,2025-12-01T17:33:14.746209,18.7,2025-12-01T17:44:30.174267,7.44,,,,,,,,,,,,
10-1151,Airport -> Rawai,46,Laguna,3576,2025-12-01T17:54:59.855296,2025-12-01T10:30:17.690868,444.7,2025-12-01T17:33:14.746209,21.75,2025-12-01T17:44:30.174267,10.49,,,,,,,,,,,,
10-1151,Airport -> Rawai,47,Lotus Cherngtalay,3837,2025-12-01T18:07:41.981714,2025-12-01T10:34:17.690868,453.4,2025-12-01T17:37:14.746209,30.45,2025-12-01T17:48:30.174267,19.2,,,,,,,,,,,,
