licence,route,stop_id,stop_name,stop_index,arrival_time,eta_pred_at_T0,accuracy_T0,eta_pred_at_T15,accuracy_T15,eta_pred_at_T30,accuracy_T30,eta_pred_at_T45,accuracy_T45,eta_pred_at_T60,accuracy_T60,eta_pred_at_T75,accuracy_T75,eta_pred_at_T90,accuracy_T90,eta_pred_at_T105,accuracy_T105,eta_pred_at_T120,accuracy_T120
10-1223,Bus 2 -> Bus 1 -> Patong,72,Vachira Phuket Hospital,2334,2025-11-27T16:56:27.731205,2025-11-27T16:55:57.069979,0.51,,,,,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,73,Bangkok Hospital Phuket,2559,,2025-11-27T16:58:57.069979,,,,,,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,74,Chillva Market,2715,2025-11-27T17:06:33.281988,2025-11-27T17:00:57.069979,5.6,,,,,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,75,Lotus Samkong,2809,2025-11-27T17:07:33.820355,2025-11-27T17:01:57.069979,5.61,,,,,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,76,Andamanda Phuket Waterpark,2935,2025-11-27T17:12:36.840673,2025-11-27T17:02:57.069979,9.66,,,,,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,77,Kathu Fresh Market,3266,2025-11-27T17:15:08.520689,2025-11-27T17:05:57.069979,9.19,,,,,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,78,PTT Station Kathu,3459,2025-11-27T17:17:40.017827,2025-11-27T17:07:57.069979,9.72,,,,,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,79,Siko,3649,2025-11-27T17:19:10.937080,2025-11-27T17:09:57.069979,9.23,,,,,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,80,Kathu Police Station,3736,2025-11-27T17:21:12.097642,2025-11-27T17:10:57.069979,10.25,2025-11-27T17:20:41.784910,0.51,,,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,81,Coffee Mania,4922,2025-11-27T17:39:22.465532,2025-11-27T17:27:57.069979,11.42,2025-11-27T17:37:41.784910,1.68,2025-11-27T17:37:50.436683,1.53,,,,,,,,,,,,
10-1223,Bus 2 -> Bus 1 -> Patong,82,Malin Plaza,5178,,2025-11-27T17:31:57.069979,,2025-11-27T17:41:41.784910,,2025-11-27T17:41:50.436683,,,,,,,,,,,,,
10-1207,Rawai -> Airport,41,Thalang Public Health Office,8532,,2025-11-27T16:57:57.069917,,,,,,,,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,85,Makro Nanai,371,2025-11-27T16:57:28.291755,2025-11-27T16:56:57.070113,0.52,,,,,,,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,86,Kathu Police Station,1550,2025-11-27T17:22:12.704295,2025-11-27T17:14:57.070113,7.26,2025-11-27T17:16:05.961827,6.11,,,,,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,87,Siko,1652,2025-11-27T17:27:15.627209,2025-11-27T17:15:57.070113,11.31,2025-11-27T17:17:05.961827,10.16,2025-11-27T17:26:15.003442,1.01,,,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,88,PTT Station Kathu,1843,2025-11-27T17:28:16.180234,2025-11-27T17:17:57.070113,10.32,2025-11-27T17:19:05.961827,9.17,2025-11-27T17:28:15.003442,0.02,,,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,89,Kathu Fresh Market,2031,2025-11-27T17:30:17.319596,2025-11-27T17:19:57.070113,10.34,2025-11-27T17:21:05.961827,9.19,2025-11-27T17:30:15.003442,0.04,,,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,90,Andamanda Phuket Waterpark,2377,2025-11-27T17:32:18.421008,2025-11-27T17:21:57.070113,10.36,2025-11-27T17:23:05.961827,9.21,2025-11-27T17:32:15.003442,0.06,,,,,,,,,,,,
10-1221,Patong -> Bus 1 -> Bus 2,91,Lotus Samkong,2484,2025-11-27T17:36:20.950559,2025-11-27T17:22:57.070113,13.4,2025-11-27T17:24:05.961827,12.25,2025-11-27T17:33:15.003442,3.1,,,,,,,,,,,,
